channel,source,campaign,content,term,destination_url,bitly_slug_suggestion
paid_social,facebook,homeowners_fl_quote_intent_rateincrease_202602_v1,copy_a,renewal_shoppers,https://app.usecanopy.com/c/tomlinson-and-co?utm_source=facebook&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_rateincrease_202602_v1&utm_content=copy_a&utm_term=renewal_shoppers,tco-home-fb-ri-copy_a
paid_social,instagram,homeowners_fl_quote_intent_newhomeowners_202602_v1,copy_a,new_homeowners,https://app.usecanopy.com/c/tomlinson-and-co?utm_source=instagram&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_newhomeowners_202602_v1&utm_content=copy_a&utm_term=new_homeowners,tco-home-ig-nh-copy_a
paid_social,facebook,homeowners_fl_quote_intent_overpaying_202602_v1,copy_a,overpaying_segment,https://app.usecanopy.com/c/tomlinson-and-co?utm_source=facebook&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_overpaying_202602_v1&utm_content=copy_a&utm_term=overpaying_segment,tco-home-fb-op-copy_a
paid_social,instagram,homeowners_fl_quote_intent_coastal_202602_v1,copy_a,coastal_zip,https://app.usecanopy.com/c/tomlinson-and-co?utm_source=instagram&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_coastal_202602_v1&utm_content=copy_a&utm_term=coastal_zip,tco-home-ig-co-copy_a
paid_social,facebook,homeowners_fl_quote_intent_rateincrease_202602_v2,copy_b,renewal_shoppers,https://app.usecanopy.com/c/tomlinson-and-co?utm_source=facebook&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_rateincrease_202602_v2&utm_content=copy_b&utm_term=renewal_shoppers,tco-home-fb-ri-copy_b
paid_social,instagram,homeowners_fl_quote_intent_newhomeowners_202602_v2,copy_b,new_homeowners,https://app.usecanopy.com/c/tomlinson-and-co?utm_source=instagram&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_newhomeowners_202602_v2&utm_content=copy_b&utm_term=new_homeowners,tco-home-ig-nh-copy_b
paid_social,facebook,homeowners_fl_quote_intent_overpaying_202602_v2,copy_b,overpaying_segment,https://app.usecanopy.com/c/tomlinson-and-co?utm_source=facebook&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_overpaying_202602_v2&utm_content=copy_b&utm_term=overpaying_segment,tco-home-fb-op-copy_b
paid_social,instagram,homeowners_fl_quote_intent_coastal_202602_v2,copy_b,coastal_zip,https://app.usecanopy.com/c/tomlinson-and-co?utm_source=instagram&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_coastal_202602_v2&utm_content=copy_b&utm_term=coastal_zip,tco-home-ig-co-copy_b
paid_social,facebook,homeowners_fl_quote_intent_rateincrease_202602_v3,copy_c,renewal_shoppers,https://app.usecanopy.com/c/tomlinson-and-co?utm_source=facebook&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_rateincrease_202602_v3&utm_content=copy_c&utm_term=renewal_shoppers,tco-home-fb-ri-copy_c
paid_social,instagram,homeowners_fl_quote_intent_newhomeowners_202602_v3,copy_c,new_homeowners,https://app.usecanopy.com/c/tomlinson-and-co?utm_source=instagram&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_newhomeowners_202602_v3&utm_content=copy_c&utm_term=new_homeowners,tco-home-ig-nh-copy_c
paid_social,facebook,homeowners_fl_quote_intent_overpaying_202602_v3,copy_c,overpaying_segment,https://app.usecanopy.com/c/tomlinson-and-co?utm_source=facebook&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_overpaying_202602_v3&utm_content=copy_c&utm_term=overpaying_segment,tco-home-fb-op-copy_c
paid_social,instagram,homeowners_fl_quote_intent_coastal_202602_v3,copy_c,coastal_zip,https://app.usecanopy.com/c/tomlinson-and-co?utm_source=instagram&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_coastal_202602_v3&utm_content=copy_c&utm_term=coastal_zip,tco-home-ig-co-copy_c
paid_social,facebook,homeowners_fl_quote_intent_rateincrease_202602_v4,video_hook1,renewal_shoppers,https://app.usecanopy.com/c/tomlinson-and-co?utm_source=facebook&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_rateincrease_202602_v4&utm_content=video_hook1&utm_term=renewal_shoppers,tco-home-fb-ri-video_hook1
paid_social,instagram,homeowners_fl_quote_intent_newhomeowners_202602_v4,video_hook1,new_homeowners,https://app.usecanopy.com/c/tomlinson-and-co?utm_source=instagram&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_newhomeowners_202602_v4&utm_content=video_hook1&utm_term=new_homeowners,tco-home-ig-nh-video_hook1
paid_social,facebook,homeowners_fl_quote_intent_overpaying_202602_v4,video_hook1,overpaying_segment,https://app.usecanopy.com/c/tomlinson-and-co?utm_source=facebook&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_overpaying_202602_v4&utm_content=video_hook1&utm_term=overpaying_segment,tco-home-fb-op-video_hook1
paid_social,instagram,homeowners_fl_quote_intent_coastal_202602_v4,video_hook1,coastal_zip,https://app.usecanopy.com/c/tomlinson-and-co?utm_source=instagram&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_coastal_202602_v4&utm_content=video_hook1&utm_term=coastal_zip,tco-home-ig-co-video_hook1
paid_social,facebook,homeowners_fl_quote_intent_rateincrease_202602_v5,video_hook2,renewal_shoppers,https://app.usecanopy.com/c/tomlinson-and-co?utm_source=facebook&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_rateincrease_202602_v5&utm_content=video_hook2&utm_term=renewal_shoppers,tco-home-fb-ri-video_hook2
paid_social,instagram,homeowners_fl_quote_intent_newhomeowners_202602_v5,video_hook2,new_homeowners,https://app.usecanopy.com/c/tomlinson-and-co?utm_source=instagram&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_newhomeowners_202602_v5&utm_content=video_hook2&utm_term=new_homeowners,tco-home-ig-nh-video_hook2
paid_social,facebook,homeowners_fl_quote_intent_overpaying_202602_v5,video_hook2,overpaying_segment,https://app.usecanopy.com/c/tomlinson-and-co?utm_source=facebook&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_overpaying_202602_v5&utm_content=video_hook2&utm_term=overpaying_segment,tco-home-fb-op-video_hook2
