long_url,title,custom_back_half
https://app.usecanopy.com/c/tomlinson-and-co?utm_source=facebook&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_rateincrease_202602_v1&utm_content=copy_a&utm_term=renewal_shoppers,facebook | homeowners_fl_quote_intent_rateincrease_202602_v1 | copy_a,tco-home-fb-ri-copy_a
https://app.usecanopy.com/c/tomlinson-and-co?utm_source=instagram&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_newhomeowners_202602_v1&utm_content=copy_a&utm_term=new_homeowners,instagram | homeowners_fl_quote_intent_newhomeowners_202602_v1 | copy_a,tco-home-ig-nh-copy_a
https://app.usecanopy.com/c/tomlinson-and-co?utm_source=facebook&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_overpaying_202602_v1&utm_content=copy_a&utm_term=overpaying_segment,facebook | homeowners_fl_quote_intent_overpaying_202602_v1 | copy_a,tco-home-fb-op-copy_a
https://app.usecanopy.com/c/tomlinson-and-co?utm_source=instagram&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_coastal_202602_v1&utm_content=copy_a&utm_term=coastal_zip,instagram | homeowners_fl_quote_intent_coastal_202602_v1 | copy_a,tco-home-ig-co-copy_a
https://app.usecanopy.com/c/tomlinson-and-co?utm_source=facebook&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_rateincrease_202602_v2&utm_content=copy_b&utm_term=renewal_shoppers,facebook | homeowners_fl_quote_intent_rateincrease_202602_v2 | copy_b,tco-home-fb-ri-copy_b
https://app.usecanopy.com/c/tomlinson-and-co?utm_source=instagram&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_newhomeowners_202602_v2&utm_content=copy_b&utm_term=new_homeowners,instagram | homeowners_fl_quote_intent_newhomeowners_202602_v2 | copy_b,tco-home-ig-nh-copy_b
https://app.usecanopy.com/c/tomlinson-and-co?utm_source=facebook&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_overpaying_202602_v2&utm_content=copy_b&utm_term=overpaying_segment,facebook | homeowners_fl_quote_intent_overpaying_202602_v2 | copy_b,tco-home-fb-op-copy_b
https://app.usecanopy.com/c/tomlinson-and-co?utm_source=instagram&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_coastal_202602_v2&utm_content=copy_b&utm_term=coastal_zip,instagram | homeowners_fl_quote_intent_coastal_202602_v2 | copy_b,tco-home-ig-co-copy_b
https://app.usecanopy.com/c/tomlinson-and-co?utm_source=facebook&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_rateincrease_202602_v3&utm_content=copy_c&utm_term=renewal_shoppers,facebook | homeowners_fl_quote_intent_rateincrease_202602_v3 | copy_c,tco-home-fb-ri-copy_c
https://app.usecanopy.com/c/tomlinson-and-co?utm_source=instagram&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_newhomeowners_202602_v3&utm_content=copy_c&utm_term=new_homeowners,instagram | homeowners_fl_quote_intent_newhomeowners_202602_v3 | copy_c,tco-home-ig-nh-copy_c
https://app.usecanopy.com/c/tomlinson-and-co?utm_source=facebook&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_overpaying_202602_v3&utm_content=copy_c&utm_term=overpaying_segment,facebook | homeowners_fl_quote_intent_overpaying_202602_v3 | copy_c,tco-home-fb-op-copy_c
https://app.usecanopy.com/c/tomlinson-and-co?utm_source=instagram&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_coastal_202602_v3&utm_content=copy_c&utm_term=coastal_zip,instagram | homeowners_fl_quote_intent_coastal_202602_v3 | copy_c,tco-home-ig-co-copy_c
https://app.usecanopy.com/c/tomlinson-and-co?utm_source=facebook&utm_medium=paid_social&utm_campaign=homeowners_fl_quote_intent_rateincrease_202602_v4&utm_content=video_hook1&utm_term=renewal_shoppers,facebook | homeowners_fl_quote_intent_rateincrease_202602_v4 | video_hook1,tco-home-fb-ri-video_hook1
